ordre;famille;cd_nom;lb_nom;nom_vern;habitat;statut;url
Passeriformes;Tyrannidae;442107;Myiozetetes luteiventris;Tyran à gorge rayée;3;;https://inpn.mnhn.fr/espece/cd_nom/442107
Passeriformes;Tyrannidae;782503;Elaenia luteiventris;Tyran à gorge rayée;3;;https://inpn.mnhn.fr/espece/cd_nom/782503
Passeriformes;Tyrannidae;782504;Tyrannopsis luteiventris;Tyran à gorge rayée;3;;https://inpn.mnhn.fr/espece/cd_nom/782504
Passeriformes;Tyrannidae;829058;Myiozetetes luteiventris septentrionalis;;3;;https://inpn.mnhn.fr/espece/cd_nom/829058
Passeriformes;Tyrannidae;442108;Myiozetetes similis;Tyran sociable ;3;;https://inpn.mnhn.fr/espece/cd_nom/442108
Passeriformes;Tyrannidae;442133;Neopipo cinnamomea;Manakin cannelle, Moucherolle manakin ;3;;https://inpn.mnhn.fr/espece/cd_nom/442133
Passeriformes;Tyrannidae;829059;Neopipo cinnamomea helenae;;3;;https://inpn.mnhn.fr/espece/cd_nom/829059
Passeriformes;Tyrannidae;442152;Ochthornis littoralis;;3;;https://inpn.mnhn.fr/espece/cd_nom/442152
Passeriformes;Tyrannidae;442154;Onychorhynchus coronatus;Moucherolle royal, Porte-éventail roi ;3;;https://inpn.mnhn.fr/espece/cd_nom/442154
Passeriformes;Tyrannidae;442159;Ornithion inerme;Tyranneau minute ;3;;https://inpn.mnhn.fr/espece/cd_nom/442159
Passeriformes;Tyrannidae;442198;Phaeomyias murina;Tyranneau souris ;3;;https://inpn.mnhn.fr/espece/cd_nom/442198
